URL;Views;Engagement;Reactions;Comments;Shares
https://www.facebook.com/529554576038364/posts/1298542935806187;0;118;90;3;25
https://www.facebook.com/475835447910404/posts/1418258213668118;0;5;4;1;0
https://www.facebook.com/798408471614720/posts/1815699493218941;0;9;7;2;0
https://www.facebook.com/754642536115429/posts/1472500467662962;0;49;40;3;6
https://www.facebook.com/529554576038364/posts/1299284465732034;0;92;71;1;20
https://www.facebook.com/633398624818177/posts/1535162974641733;0;195;175;11;9
https://www.facebook.com/633676638773315/posts/1468952571912380;0;8;6;2;0
https://www.facebook.com/678163761010030/posts/1400281432131589;0;7;6;1;0
https://www.facebook.com/790750936413735/posts/1435917998563689;0;59;51;2;6
https://www.facebook.com/475015981334572/posts/1391350313034463;0;10;7;1;2
https://www.facebook.com/545739531039851/posts/1297132449233885;0;209;177;21;11
https://www.facebook.com/781637770290031/posts/1543709614082839;0;41;40;1;0
https://www.facebook.com/572333381692585/posts/1310046774587905;0;130;118;8;4
https://www.facebook.com/545739531039851/posts/1304365821843881;0;99;94;1;4
https://www.facebook.com/798408471614720/posts/1827051272083763;0;33;7;26;0
https://www.facebook.com/watch/?v=1355786146428105/;12000;363;361;2;0
https://www.facebook.com/545739531039851/posts/1308975831382880;0;174;158;8;8
https://www.facebook.com/678163761010030/posts/1409839901175742;0;6;6;0;0
https://www.facebook.com/545739531039851/posts/1308093301471133;0;322;280;28;14
https://www.facebook.com/678163761010030/posts/1409040817922317;0;9;9;0;0
https://www.facebook.com/633676638773315/posts/1478969970910640;0;54;10;44;0
https://www.facebook.com/633676638773315/posts/1478132167661087;0;7;5;2;0
https://www.facebook.com/529554576038364/posts/1312181497775664;0;81;58;7;16
https://www.facebook.com/599478218881353/posts/1439909041504929;0;11;9;1;1
https://www.facebook.com/550231463815754/posts/1447803094058582;0;12;11;1;0
https://www.facebook.com/779072510075492/posts/1868507924465273;0;6;5;1;0
https://www.facebook.com/781637770290031/posts/1556957549424712;0;22;21;1;0
https://www.facebook.com/475015981334572/posts/1405670188269142;0;12;11;1;0
https://www.facebook.com/545739531039851/posts/1311558901124573;0;18;18;0;0
https://www.facebook.com/678163761010030/posts/1412652307561168;0;10;10;0;0
https://www.facebook.com/550231463815754/posts/1448548637317361;0;12;9;1;2
https://www.facebook.com/678163761010030/posts/1411869830972749;0;9;9;0;0
https://www.facebook.com/781637770290031/posts/1555217169598750;0;23;20;1;2
https://www.facebook.com/798408471614720/posts/1836823554439868;0;13;13;0;0
https://www.facebook.com/781637770290031/posts/1558604259260041;0;16;14;1;1
https://www.facebook.com/iaumreview/posts/pfbid0dMyNbejXPpSyzR1R7vBiuA4CtTHVSJ8dk7RNDUhxXHHXH9A5NwGsXxhT8txaAijfl;0;187;171;14;2
https://www.facebook.com/iaumreview/posts/pfbid02xCWWhvCjNWu9uB1MGUnVhieiVMJu1hEqBJPjJYX6qstHTVNiSedSGL9kfm87qAaol;0;798;736;45;17
https://www.facebook.com/iaumreview/posts/pfbid05tdnQG6QdDMfn3gJoeygUJ6mPMWdRqHCG5u4F3DXWfTQQg2jkykVXTqHswU9u8bjl;0;558;505;35;18
https://www.facebook.com/watch/?v=1788006602364399;101000;989;942;47;0
https://www.facebook.com/iaumreview/posts/pfbid02WAF3uDyQxAUfRgZHDyjfNVk8Cm5MyLWMjjyu2Zz6YY5jHXN1TFy5KWNgVY57zPosl;0;241;219;14;8
https://www.facebook.com/iaumreview/posts/pfbid02hohy7VNP5TaLAR3HidQf8mViSYCD9mH58kp2JgfeAcwSRyEqrkrXgCkVcsmFAYzul;0;201;186;12;3
https://www.facebook.com/iaumreview/posts/pfbid02EJusTAcbw6wmTFGXBBJU326bUPzeMpQH3SPafhJanxFsNYzqbHLkJmFs5RDsQsVal;0;367;341;16;10
https://www.facebook.com/iaumreview/posts/pfbid0X3oXfbixBTKVHDXJra14wVBgqkmryj3DhQb8UF2RSi7gVN58heJbSxZDAhU4TRGl;0;206;177;13;16
https://www.facebook.com/iaumreview/posts/pfbid0E4PV1S8jtmaWffAY1Yga3gWRo78p7g8bqmXvzAy6ycL8T5gX225WQm7PpJ9bEGXWl;0;195;175;11;9
